012190,https://mombetsu.jp/,200,Apache,TLSv1.2,北海道,紋別市,http/https,ECDHE-RSA-AES128-GCM-SHA256,RapidSSL SHA256 CA,紋別市ホームページ,54525
012203,http://www.city.shibetsu.lg.jp/www/index.html,200,Apache,,北海道,士別市,http,,,天塩の流れとともに　人と大地が躍動する　すこやかなまち,26601
012211,http://www.city.nayoro.lg.jp/,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9,,北海道,名寄市,http,,,北海道名寄市 - Hokkaido Nayoro city,25975
012220,http://www.city.mikasa.hokkaido.jp/,200,Apache,,北海道,三笠市,http,,,三笠市,0
012238,https://www.city.nemuro.hokkaido.jp/lifeinfo/,200,nginx,TLSv1.2,北海道,根室市,http/https,AES256-GCM-SHA384,AlphaSSL CA - SHA256 - G2,くらしの情報／根室市,66499
012246,https://www.city.chitose.lg.jp,200,nginx,TLSv1.2,北海道,千歳市,http/https,AES256-SHA,DigiCert SHA2 Extended Validation Server CA,北海道千歳市公式ホームページ - City of Chitose,28606
012254,http://www.city.takikawa.hokkaido.jp/,200,Apache/2.4.6 (Red Hat),,北海道,滝川市,http,,,滝川市役所　公式ホームページ,53826
012262,https://www.city.sunagawa.hokkaido.jp/,200,Apache,TLSv1.2,北海道,砂川市,http/https,ECDHE-RSA-AES128-GCM-SHA256,JPRS Domain Validation Authority - G1,砂川市ホームページ,47262
012271,https://www.city.utashinai.hokkaido.jp/,200,Apache,TLSv1.0,北海道,歌志内市,http/https,DHE-RSA-AES128-SHA,Cybertrust Japan Public CA G3,北海道歌志内市,0
012289,https://www.city.fukagawa.lg.jp/,200,Apache/2.2.15 (CentOS),TLSv1.2,北海道,深川市,http/https,ECDHE-RSA-AES256-GCM-SHA384,GlobalSign Organization Validation CA - SHA256 - G2,北海道深川市 The Official Web Site of Fukagawa City,0
012297,http://www.city.furano.hokkaido.jp/,200,Apache,,北海道,富良野市,http,,,富良野市公式ホームページ | 富良野市,58849
012301,http://www.city.noboribetsu.lg.jp/,200,Apache/2.2.29 (CentOS),,北海道,登別市,http,,,北海道の有名温泉、登別市へようこそ！ | 登別市,46583
012319,http://www.city.eniwa.hokkaido.jp/www/toppage/0000000000000/APM03000.html,200,,,北海道,恵庭市,http,,,恵庭市ホームページ,24877
012335,https://www.city.date.hokkaido.jp/,200,Apache,TLSv1.0,北海道,伊達市,http/https,DHE-RSA-AES128-SHA,GlobalSign Domain Validation CA - SHA256 - G2,北海道伊達市,0
012343,https://www.city.kitahiroshima.hokkaido.jp/,200,Apache,TLSv1.2,北海道,北広島市,http/https,ECDHE-RSA-AES128-SHA256,Cybertrust Japan Public CA G3,北海道北広島市,0
012351,http://www.city.ishikari.hokkaido.jp/,200,Apache,,北海道,石狩市,http,,,北海道石狩市公式ホームページ,34693
012360,https://www.city.hokuto.hokkaido.jp/index.html,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips,TLSv1.2,北海道,北斗市,https,ECDHE-RSA-AES256-GCM-SHA384,GeoTrust RSA CA 2018,北斗市,24839
013030,https://www.town.tobetsu.hokkaido.jp/,200,Apache,TLSv1.2,北海道,当別町,http/https,DHE-RSA-AES256-GCM-SHA384,GlobalSign Domain Validation CA - SHA256 - G2,当別町公式ホームページ - 札幌至近の自然あふれるまち,37048
013048,https://www.vill.shinshinotsu.hokkaido.jp/,200,Apache,TLSv1.2,北海道,新篠津村,http/https,ECDHE-RSA-AES128-GCM-SHA256,Cybertrust Japan Public CA G3,新篠津村,0
013315,https://www.town.matsumae.hokkaido.jp/,200,Apache,TLSv1.2,北海道,松前町,http/https,ECDHE-RSA-AES256-GCM-SHA384,Cybertrust Japan Public CA G3,北海道松前町,7544
013323,http://www.town.fukushima.hokkaido.jp/top/,200,Apache,,北海道,福島町,http,,,北海道福島町 | ,0
013331,https://www.town.shiriuchi.hokkaido.jp/,200,Apache,TLSv1.2,北海道,知内町,http/https,ECDHE-RSA-AES256-GCM-SHA384,Cybertrust Japan Public CA G3,北海道知内町,26585
013340,https://www.town.kikonai.hokkaido.jp/,200,Apache/2.2.15 (CentOS),TLSv1.2,北海道,木古内町,http/https,ECDHE-RSA-AES256-GCM-SHA384,Cybertrust Japan Public CA G3,北海道木古内町,22898
013374,https://www.town.nanae.hokkaido.jp/,200,Apache,TLSv1.0,北海道,七飯町,http/https,DHE-RSA-AES128-SHA,Cybertrust Japan Public CA G3,北海道七飯町,0
013439,http://www.town.shikabe.lg.jp/,200,Apache,,北海道,鹿部町,http,,,北海道鹿部町,0
013455,http://www.town.hokkaido-mori.lg.jp/,200,Apache/2.2.15 (CentOS),,北海道,森町,http,,,北海道森町,35844
013463,http://www.town.yakumo.lg.jp/,200,Apache,,北海道,八雲町,http,,,八雲町 - 太平洋と日本海　二つの海を持つまち,0
013471,http://www.town.oshamambe.lg.jp/index.php,200,Apache,,北海道,長万部町,http,,,長万部町役場 - 道南の交通拠点,0
013617,http://www.hokkaido-esashi.jp/,200,Apache,,北海道,江差町,http,,,江差町公式ホームページ（北海道檜山） - 北海道の里　追分流れるロマンの町,0
013625,http://www.town.kaminokuni.lg.jp/,200,Apache,,北海道,上ノ国町,http,,,北海道上ノ国町,0
013633,https://www.town.assabu.lg.jp/index.php,200,Apache,TLSv1.2,北海道,厚沢部町,https,ECDHE-RSA-AES256-GCM-SHA384,GeoTrust RSA CA 2018,厚沢部町公式ホームページ（北海道檜山郡） - ヒバの北限、トドマツの南限、豊かな森林の町・厚沢部町,0
013641,http://www.town.otobe.lg.jp/,200,Apache,,北海道,乙部町,http,,,北海道乙部町,16887
013676,http://www.town.okushiri.lg.jp/,200,Apache,,北海道,奥尻町,http,,,奥尻町,0
013706,http://www.town.imakane.lg.jp/,200,Apache,,北海道,今金町,http,,,北海道今金町のホームページへようこそ,5762
013714,http://www.town.setana.lg.jp/,200,Apache,,北海道,せたな町,http,,,せたな町公式サイト　－　北海道久遠郡せたな町,28506
013919,http://www.vill.shimamaki.lg.jp/,200,Apache,,北海道,島牧村,http,,,島牧村,0
013927,http://www.town.suttu.lg.jp/,200,Apache,,北海道,寿都町,http,,,北海道の寿都町ホームページ,0
013935,http://www.kuromatsunai.com/,200,nginx,,北海道,黒松内町,http,,,黒松内町,0
013943,http://www.town.rankoshi.hokkaido.jp/,200,Apache,,北海道,蘭越町,http,,,蘭越町ホームページ,25807
013951,https://www.town.niseko.lg.jp/,200,Apache,TLSv1.2,北海道,ニセコ町,https,ECDHE-RSA-AES256-GCM-SHA384,FujiSSL Public Certification Authority - G1,北海道ニセコ町,0
013960,https://www.vill.makkari.lg.jp/,200,Apache,TLSv1.2,北海道,真狩村,http/https,ECDHE-RSA-AES256-GCM-SHA384,FujiSSL Public Certification Authority - G1,北海道 真狩村,0
013978,https://www.vill.rusutsu.lg.jp/,200,Apache,TLSv1.0,北海道,留寿都村,http/https,DHE-RSA-AES128-SHA,Cybertrust Japan Public CA G3,北海道留寿都村,0
013986,http://www.town.kimobetsu.hokkaido.jp/,200,nginx,,北海道,喜茂別町,http,,,北海道喜茂別町ホームページ,27781
013994,http://www.town-kyogoku.jp/,200,Apache,,北海道,京極町,http,,,北海道京極町公式WEBSite,0
014001,http://www.town.kutchan.hokkaido.jp/,200,Apache/2.2.15 (CentOS),,北海道,倶知安町,http,,,倶知安町,0
014010,http://www.town.kyowa.hokkaido.jp/,200,Apache,,北海道,共和町,http,,,共和町ホームページ-ようこそ、かかしのふるさと共和町へ,38812
014028,http://www.town.iwanai.hokkaido.jp/,200,Apache,,北海道,岩内町,http,,,岩内町公式HP | 北海道の西積丹に位置する岩内町,0
014036,http://www.vill.tomari.hokkaido.jp/,200,nginx,,北海道,泊村,http,,,泊村公式ホームページ - Tomari Village,18814
014044,https://www.vill.kamoenai.hokkaido.jp/,200,Apache,TLSv1.0,北海道,神恵内村,http/https,DHE-RSA-AES128-SHA,Cybertrust Japan Public CA G3,北海道神恵内村（Kamoenai Village）,0
014052,http://www.town.shakotan.hokkaido.jp/,200,Apache,,北海道,積丹町,http,,,積丹町公式ホームページ　,3714
014061,http://www.town.furubira.lg.jp/,200,Apache/2.2.15 (CentOS),,北海道,古平町,http,,,北海道「古平町」,0
014079,http://www.town.niki.hokkaido.jp/,200,Apache,,北海道,仁木町,http,,,仁木町 -果実とやすらぎの里にき-,17608
014087,https://www.town.yoichi.hokkaido.jp/,200,Apache,TLSv1.2,北海道,余市町,http/https,ECDHE-RSA-AES128-GCM-SHA256,JPRS Domain Validation Authority - G1,北海道余市町ホームページ,28434
